"","LeeftijdOp31December","Week","2001","2002","2003","2004","2005","2006","2013","2014","2015","2016","2017","2018","2019","2020","Average20152019","Average20132017","Average20012005","excess_death","excess_flu","excess_heatwave"
"70","0 tot 65","35",482.976907852222,507.930755899495,495.5172731174,515.299729889844,538.929783540617,450.3624421771,399.705482460698,466.487079146228,431.758089535617,423.66433344571,403.684010462118,409.132857714205,384.285179600261,341,410.504894151582,425.059799010074,508.130890059916,-70,-15.9269412958688,-57.7684478828163
"71","65 tot 80","01",1530.31305885163,1233.49826975713,978.211536511489,904.978528593099,1312.88731307909,1200.13108429699,886.900622900979,713.261443684759,577.948446985514,1012.09882904783,996.901893850049,973.771765082705,730.715488409595,632,858.287284675139,837.422247293826,1191.97774135849,-226,136.349517788878,8.15334293850469
"72","65 tot 80","02",1378.367081377,1543.41471003361,1422.85314401671,1529.04929243834,1303.89493422238,1195.70799676273,1048.04513498545,966.580156089984,1083.51196127617,949.392705943781,1065.57974229612,967.502848140112,882.990464315931,967,989.795544394423,1022.6219401183,1435.51583241761,-23,-55.1190919781887,-239.807835654881
"73","65 tot 80","03",1389.22036548233,1524.91223598725,1341.59105712783,1393.90988128937,1300.89747460348,1247.31068466248,1031.08255476603,914.048625867703,1000.9478974211,970.294746978464,959.343695481102,1027.05755909474,948.39716537637,912,981.208212870354,975.143504102879,1390.10620289805,-69,51.9140549918623,-142.795518235576
"74","65 tot 80","04",1516.35883643049,1455.52795831341,1387.58846480078,1319.50728413994,1278.41652746171,1182.43873415994,1035.92900625729,893.03601377879,1003.20992656781,961.493887595439,1025.87536116324,977.951043044433,951.463104488578,936,983.998664571899,983.908839072514,1391.47981422927,-48,-5.95779602808057,-209.041080069332
"75","65 tot 80","05",1514.80836727259,1407.72990036033,1382.98872403348,1390.87304058939,1339.8644496492,1201.60544680841,1060.1612637136,898.872850470155,1020.17514516817,1040.70162204266,1113.86885448477,962.278750687952,964.74884064148,924,1020.35464260501,1026.75594717587,1407.252896381,-96,-64.4771964879193,-205.647449572586
"76","65 tot 80","06",1494.65226821983,1406.18802752313,1416.72015632698,1193.4783950909,1428.28950840681,1276.7979348909,1063.79610233205,964.245421413439,1014.52007230138,997.797432550416,996.901893850049,1013.47490571912,1004.60604910019,981,1005.46007070423,1007.45218448947,1387.86567111353,-24,6.02272122965701,-111.067736222628
"77","65 tot 80","07",1423.33068695623,1363.01558808163,1458.11782323264,1205.62575789081,1422.29458916901,1200.13108429699,974.136749743699,951.404380692436,1049.58152407545,982.395928630123,941.101141987614,1117.95685476233,935.111429223468,937,1005.2293757358,979.723945025865,1374.47688906606,-68,138.232909736467,-174.345804769071
"78","65 tot 80","08",1383.01848885071,1433.94173859266,1430.51937862887,1289.13887714017,1360.84666698152,1269.4261223338,1080.75868255147,946.734911339345,1051.84355322217,1029.70054781388,980.805523120501,1093.92600648239,959.638942121133,869,1023.18291455202,1017.96864360947,1379.49303003879,-154,75.9573628729225,-110.066907704991
"79","65 tot 80","09",1438.83537853527,1714.56259496241,1448.91834169805,1349.87569113971,1489.7374305943,1273.84920986806,1023.81287752914,861.517095645421,999.816882847738,1017.59936616222,888.519664271088,1160.79445387005,896.276200468832,911,992.601313523986,958.253177291121,1488.38588738595,-82,202.541276578927,-214.536677517889
"80","65 tot 80","10",1547.36821958858,1540.33096435922,1487.24951475885,1316.47044343996,1377.33269488548,1207.5028968541,1055.31481222234,883.697075072607,1000.9478974211,985.696250898757,950.758964425343,1163.92891234134,958.616962417064,889,1011.98979750072,975.283000008028,1453.75036740642,-123,188.645912333316,-246.247470552318
"81","65 tot 80","11",1500.85414485145,1474.03043235977,1433.58587247373,1252.69678874045,1381.82888431383,1257.63122224242,1044.410296367,974.751727457895,1012.25804315467,972.49496182422,853.107648666081,1091.83636750153,1000.51813028391,949,986.043030286081,971.404535493973,1408.59922454785,-37,120.431832007558,-150.968002305421
"82","65 tot 80","12",1376.8166122191,1413.89739170911,1346.19079789512,1346.83885043973,1297.90001498458,1267.95175982237,1048.04513498545,883.697075072607,979.458620527309,985.696250898757,877.788750451389,989.444057439186,878.902545499653,1079,942.258044963259,954.937166387102,1356.32873344953,137,34.5068910520841,-88.3769736271522
"83","65 tot 80","13",1403.17458790347,1466.32106817379,1433.58587247373,1263.32573119037,1257.4343101294,1223.72088447973,1034.71739338448,921.05282989734,999.816882847738,1016.49925873934,929.297136785945,937.203082917582,912.627875733942,1401,959.08884740491,980.276700330968,1364.76831397415,442,-43.0736174133868,-141.047429494418
"84","65 tot 80","14",1452.78960095641,1403.10428184874,1441.25210708589,1328.61780623987,1209.47495622697,1225.19524699115,1040.77545774855,953.739115368982,968.148474793737,952.693028212415,858.47310557593,942.427180369742,865.616809346752,1503,917.471719659715,954.765836339924,1367.04775047158,586,-12.3386559701817,-141.85250348042
"85","65 tot 80","15",1403.17458790347,1498.70039775491,1370.72274865403,1202.58891719083,1179.50036003795,1229.61833452542,992.310942835932,848.676054924419,939.873110459808,911.989053565926,929.297136785945,883.917288905545,908.539956917665,1435,914.723309326978,924.429259714406,1330.93740230824,520,-40.5119708088606,-101.319067782819
"86","65 tot 80","16",1353.55957485053,1387.68555347677,1352.32378558485,1254.21520909044,1164.51306194344,1229.61833452542,1034.71739338448,888.366544425698,972.672533087166,906.488516451536,874.569476305479,913.172234637644,918.759753958359,1228,917.132502888037,935.362892730871,1302.4594369892,311,-22.1906580932274,-72.8411024637853
"87","65 tot 80","17",1407.82599537718,1435.48361142986,1358.45677327458,1219.2915410407,1161.51560232453,1147.05403388582,992.310942835932,896.538115793609,939.873110459808,839.381963655973,881.008024597299,866.1553575682,877.880565795584,1153,880.859804415373,909.822431468524,1316.51470468937,272,-43.6670739003243,-169.460670803549
"88","65 tot 80","18",1418.67927948252,1329.09438566331,1218.93130333328,1261.80731084038,1148.02703403947,1188.33618420562,886.900622900979,868.521299675059,948.921227046666,903.188194182901,901.396760854727,801.37654916141,888.100362836278,999,888.596618816396,901.785620932066,1275.30786267179,110,-100.409071770656,-86.9716784661709
