"Leeftijd","Aanwezig","Datum","Type"
"35 - 39",26,"2020-12-02","Klinisch"
"40 - 44",28,"2020-12-02","Klinisch"
"45 - 49",58,"2020-12-02","Klinisch"
"50 - 54",84,"2020-12-02","Klinisch"
"55 - 59",123,"2020-12-02","Klinisch"
"60 - 64",110,"2020-12-02","Klinisch"
"65 - 69",150,"2020-12-02","Klinisch"
"70 - 74",187,"2020-12-02","Klinisch"
"75 - 79",221,"2020-12-02","Klinisch"
"80 - 84",174,"2020-12-02","Klinisch"
"85 - 89",124,"2020-12-02","Klinisch"
">90",55,"2020-12-02","Klinisch"
"<20",34,"2020-12-03","Klinisch"
"20 - 24",4,"2020-12-03","Klinisch"
"25 - 29",7,"2020-12-03","Klinisch"
"30 - 34",15,"2020-12-03","Klinisch"
"35 - 39",29,"2020-12-03","Klinisch"
"40 - 44",28,"2020-12-03","Klinisch"
"45 - 49",55,"2020-12-03","Klinisch"
"50 - 54",78,"2020-12-03","Klinisch"
"55 - 59",121,"2020-12-03","Klinisch"
"60 - 64",111,"2020-12-03","Klinisch"
"65 - 69",143,"2020-12-03","Klinisch"
"70 - 74",187,"2020-12-03","Klinisch"
"75 - 79",217,"2020-12-03","Klinisch"
"80 - 84",184,"2020-12-03","Klinisch"
"85 - 89",124,"2020-12-03","Klinisch"
">90",53,"2020-12-03","Klinisch"
"<20",38,"2020-12-04","Klinisch"
"20 - 24",6,"2020-12-04","Klinisch"
"25 - 29",10,"2020-12-04","Klinisch"
"30 - 34",17,"2020-12-04","Klinisch"
"35 - 39",23,"2020-12-04","Klinisch"
"40 - 44",26,"2020-12-04","Klinisch"
"45 - 49",52,"2020-12-04","Klinisch"
"50 - 54",81,"2020-12-04","Klinisch"
"55 - 59",116,"2020-12-04","Klinisch"
"60 - 64",105,"2020-12-04","Klinisch"
"65 - 69",139,"2020-12-04","Klinisch"
"70 - 74",191,"2020-12-04","Klinisch"
"75 - 79",227,"2020-12-04","Klinisch"
"80 - 84",195,"2020-12-04","Klinisch"
"85 - 89",120,"2020-12-04","Klinisch"
">90",48,"2020-12-04","Klinisch"
"<20",40,"2020-12-05","Klinisch"
"20 - 24",7,"2020-12-05","Klinisch"
"25 - 29",6,"2020-12-05","Klinisch"
"30 - 34",15,"2020-12-05","Klinisch"
"35 - 39",20,"2020-12-05","Klinisch"
"40 - 44",27,"2020-12-05","Klinisch"
"45 - 49",47,"2020-12-05","Klinisch"
"50 - 54",86,"2020-12-05","Klinisch"
"55 - 59",115,"2020-12-05","Klinisch"
"60 - 64",112,"2020-12-05","Klinisch"
"65 - 69",147,"2020-12-05","Klinisch"
"70 - 74",167,"2020-12-05","Klinisch"
"75 - 79",221,"2020-12-05","Klinisch"
"80 - 84",211,"2020-12-05","Klinisch"
"85 - 89",135,"2020-12-05","Klinisch"
">90",47,"2020-12-05","Klinisch"
"<20",34,"2020-12-06","Klinisch"
"20 - 24",9,"2020-12-06","Klinisch"
"25 - 29",7,"2020-12-06","Klinisch"
"30 - 34",15,"2020-12-06","Klinisch"
"35 - 39",21,"2020-12-06","Klinisch"
"40 - 44",27,"2020-12-06","Klinisch"
"45 - 49",50,"2020-12-06","Klinisch"
"50 - 54",88,"2020-12-06","Klinisch"
"55 - 59",104,"2020-12-06","Klinisch"
"60 - 64",117,"2020-12-06","Klinisch"
"65 - 69",158,"2020-12-06","Klinisch"
"70 - 74",181,"2020-12-06","Klinisch"
"75 - 79",225,"2020-12-06","Klinisch"
"80 - 84",220,"2020-12-06","Klinisch"
"85 - 89",134,"2020-12-06","Klinisch"
">90",50,"2020-12-06","Klinisch"
"<20",37,"2020-12-07","Klinisch"
"20 - 24",11,"2020-12-07","Klinisch"
"25 - 29",10,"2020-12-07","Klinisch"
"30 - 34",15,"2020-12-07","Klinisch"
"35 - 39",20,"2020-12-07","Klinisch"
"40 - 44",27,"2020-12-07","Klinisch"
"45 - 49",54,"2020-12-07","Klinisch"
"50 - 54",94,"2020-12-07","Klinisch"
"55 - 59",105,"2020-12-07","Klinisch"
"60 - 64",112,"2020-12-07","Klinisch"
"65 - 69",164,"2020-12-07","Klinisch"
"70 - 74",184,"2020-12-07","Klinisch"
"75 - 79",220,"2020-12-07","Klinisch"
"80 - 84",229,"2020-12-07","Klinisch"
"85 - 89",141,"2020-12-07","Klinisch"
">90",56,"2020-12-07","Klinisch"
"<20",34,"2020-12-08","Klinisch"
"20 - 24",11,"2020-12-08","Klinisch"
"25 - 29",8,"2020-12-08","Klinisch"
"30 - 34",15,"2020-12-08","Klinisch"
"35 - 39",22,"2020-12-08","Klinisch"
"40 - 44",30,"2020-12-08","Klinisch"
"45 - 49",55,"2020-12-08","Klinisch"
"50 - 54",87,"2020-12-08","Klinisch"
"55 - 59",112,"2020-12-08","Klinisch"
"60 - 64",128,"2020-12-08","Klinisch"
"65 - 69",171,"2020-12-08","Klinisch"
"70 - 74",183,"2020-12-08","Klinisch"
"75 - 79",222,"2020-12-08","Klinisch"
"80 - 84",228,"2020-12-08","Klinisch"
"85 - 89",149,"2020-12-08","Klinisch"
">90",66,"2020-12-08","Klinisch"
"<20",39,"2020-12-09","Klinisch"
"20 - 24",10,"2020-12-09","Klinisch"
"25 - 29",8,"2020-12-09","Klinisch"
"30 - 34",17,"2020-12-09","Klinisch"
"35 - 39",22,"2020-12-09","Klinisch"
"40 - 44",31,"2020-12-09","Klinisch"
"45 - 49",50,"2020-12-09","Klinisch"
"50 - 54",88,"2020-12-09","Klinisch"
"55 - 59",113,"2020-12-09","Klinisch"
"60 - 64",131,"2020-12-09","Klinisch"
"65 - 69",174,"2020-12-09","Klinisch"
"70 - 74",202,"2020-12-09","Klinisch"
