name,safetyRegion,Gemeentecode,0-9,okt-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
Venray,VR23,GM0984,4052,4961,4880,4896,5346,6997,5990,4325,1905,262
Vijfheerenlanden,VR09,GM1961,6434,6905,6666,6899,7051,7830,6892,5433,2259,442
Vlaardingen,VR17,GM0622,7968,7627,9130,9396,9174,10029,8704,7039,3542,788
Vlieland,VR02,GM0096,62,119,196,115,156,207,148,114,32,6
Vlissingen,VR19,GM0718,4030,4694,5062,4982,5666,6209,6100,4978,2143,496
Voerendaal,VR24,GM0986,1144,1227,1056,1222,1359,2090,1940,1589,752,96
Voorschoten,VR16,GM0626,2788,3280,2287,2545,3384,3683,3157,2744,1398,330
Voorst,VR06,GM0285,2455,2970,2182,2454,2774,3875,3750,2671,1211,210
Vught,VR21,GM0865,3048,3098,2307,2970,3590,4121,3414,2428,1312,270
Waadhoeke,VR02,GM1949,4474,5736,4583,4732,5911,7096,6494,4788,1927,349
Waalre,VR22,GM0866,1869,2109,1365,1824,2241,2693,2239,1891,1065,160
Waalwijk,VR20,GM0867,4852,5257,5534,6155,6182,7166,6191,4917,2062,321
Waddinxveen,VR16,GM0627,3628,3344,3438,3958,3430,3981,3499,2589,1232,192
Wageningen,VR07,GM0289,3176,4181,10702,4694,3890,4561,3891,2910,1344,315
Wassenaar,VR15,GM0629,2525,3785,1932,1988,3423,4195,3245,3071,1717,424
Waterland,VR11,GM0852,1738,2043,1541,1594,2148,2758,2519,2085,860,138
Weert,VR23,GM0988,4456,5245,5708,5597,5972,7939,6688,5494,2627,379
Weesp,VR14,GM0457,2307,2044,1957,2664,2642,2895,2391,1773,884,181
West Betuwe,VR08,GM1960,5516,6767,5381,5408,6589,8244,6312,4792,1829,290
West Maas en Waal,VR08,GM0668,1780,2145,2002,2018,2425,3368,2817,1870,759,140
Westerkwartier,VR01,GM1969,6833,8189,6095,6857,8176,9835,8165,6179,2516,484
Westerveld,VR03,GM1701,1519,2084,1467,1675,2244,3258,3216,2621,1144,232
Westervoort,VR07,GM0293,1437,1632,1554,1762,1803,2456,2404,1331,498,94
Westerwolde,VR01,GM1950,2289,2862,2266,2375,2977,4179,4022,3155,1311,297
Westland,VR15,GM1783,11897,13096,13411,13501,14073,16124,13096,9959,4469,749
Weststellingwerf,VR02,GM0098,2503,2946,2478,2761,3098,4005,3661,2812,1362,288
Westvoorne,VR17,GM0614,1168,1552,1246,1255,1848,2513,2243,1862,854,190
Wierden,VR05,GM0189,2705,3162,2526,2715,2931,3581,3122,2480,1048,176
Wijchen,VR08,GM0296,3819,5117,4121,4338,5320,6618,5630,4251,1649,247
Wijdemeren,VR14,GM1696,2378,2882,1963,2348,3118,4151,3341,2791,1155,231
Wijk bij Duurstede,VR09,GM0352,2494,2956,2392,2472,2976,3845,3641,2230,806,102
Winterswijk,VR06,GM0294,2500,3493,3017,2902,3486,4503,4107,3126,1427,293
Woensdrecht,VR20,GM0873,1941,2314,2134,2261,2761,3638,2900,2713,1064,150
Woerden,VR09,GM0632,5844,6899,5568,6009,7014,7761,6177,4700,1969,358
Wormerland,VR11,GM0880,1435,1952,1725,1505,2016,2785,1966,1915,852,119
Woudenberg,VR09,GM0351,1745,1875,1441,1550,1642,1826,1438,1199,560,86
Zaanstad,VR11,GM0479,17149,17877,18633,20672,21249,23304,17302,13737,5828,1043
Zaltbommel,VR08,GM0297,3359,3936,3505,3289,3633,4150,3301,2493,1061,154
Zandvoort,VR12,GM0473,1414,1680,1564,1693,2302,2767,2435,2189,886,186
Zeewolde,VR25,GM0050,2484,3089,2985,2773,2968,3907,2422,1361,588,76
Zeist,VR09,GM0355,7411,8016,7201,7400,8334,9050,7535,6040,3154,764
Zevenaar,VR07,GM0299,4007,4750,4354,4562,5574,6729,6275,5112,2075,312
Zoetermeer,VR15,GM0637,13772,14729,14534,15972,15441,17745,17103,11143,4101,745
Zoeterwoude,VR16,GM0638,848,1035,907,886,1071,1403,1177,866,355,57
Zuidplas,VR16,GM1892,5308,5374,4669,5355,5495,6647,5456,3746,1555,280
Zundert,VR20,GM0879,1911,2156,2460,2325,2582,3793,3231,2150,1042,179
Zutphen,VR06,GM0301,4313,6037,4826,4942,6467,7407,6698,4954,1886,404
Zwartewaterland,VR04,GM1896,2979,3339,2837,2689,2790,2888,2500,1858,688,117
Zwijndrecht,VR18,GM0642,4746,4961,5220,5314,5238,6236,5470,4704,2409,439
Zwolle,VR04,GM0193,14817,15618,18551,18109,17428,16717,13239,9286,4169,906
